Bitcoin,"$17,019.14"
Binance USD,$0.9999
Ethereum,"$1,262.88"
Polkadot,$5.48
TRON,$0.0528
Wrapped Bitcoin,"$16,975.69"
XRP,$0.3829
Litecoin,$80.59
Uniswap,$6.15
Tether,$1.00
Filecoin,$4.54
Dogecoin,$0.1012
Stellar,$0.08577
Cosmos,$10.20
Internet Computer,$4.38
Avalanche,$13.61
Huobi Token,$6.61
Dai,$0.9998
BNB,$289.93
Tezos,$1.02
Quant,$123.29
Cardano,$0.3186
Ethereum Classic,$19.39
Flow,$1.11
Bitcoin Cash,$111.55
The Sandbox,$0.6104
EOS,$0.9303
Chainlink,$7.28
Shiba Inu,$0.000009376
USD Coin,$1.00
Monero,$145.12
Hedera,$0.04854
NEAR Protocol,$1.74
Algorand,$0.2366
Chain,$0.03869
Aave,$64.04
Polygon,$0.9116
Solana,$14.12
UNUS SED LEO,$3.87
Toncoin,$1.83
VeChain,$0.01923
Terra Classic,$0.0001738
USDD,$0.9817
Theta Network,$0.8799
IOTA,$0.2139
Cronos,$0.06663
Chiliz,$0.1612
TrueUSD,$0.9994
BitDAO,$0.3033
Neo,$6.97
PAX Gold,"$1,776.49"
Aptos,$5.17
Trust Wallet Token,$2.36
PancakeSwap,$3.97
Bitcoin SV,$41.74
OKB,$21.36
MultiversX (Elrond),$43.55
Axie Infinity,$8.56
ApeCoin,$4.18
BitTorrent-New,$0.0000006955
Klaytn,$0.1879
Pax Dollar,$1.00
6
Fei USD,$0.9887
Curve DAO Token,$0.6713
Maker,$637.03
Synthetix,$1.95
Celo,$0.6521
Zcash,$46.26
eCash,$0.00002954
NEM,$0.03259
ImmutableX,$0.4875
Loopring,$0.2502
GMX,$51.88
,$1.00
KuCoin Token,$6.56
THORChain,$1.39
Decred,$21.36
Stacks,$0.2593
Neutrino USD,$0.888
Arweave,$9.58
Holo,$0.001686
Compound,$37.91
Fantom,$0.2518
Dash,$46.69
EthereumPoW,$3.79
The Graph,$0.06435
Basic Attention Token,$0.2317
Kusama,$31.30
STEPN,$0.4037
Osmosis,$0.9682
Mina,$0.5679

GateToken,$3.65
Enjin Coin,$0.3156
Zilliqa,$0.02263
1inch Network,$0.4819
Bitcoin Gold,$15.13
Terra,$1.63

Convex Finance,$3.95
Nexo,$0.6628
IoTeX,$0.02391
Casper,$0.02987
Helium,$2.21
Symbol,$0.03482
Waves,$2.47
Ravencoin,$0.02203
Chia,$31.50
Hive,$0.3594
Qtum,$2.19
Ethereum Name Service,$13.98
Moonbeam,$0.4149

XDC Network,$0.02169
SwissBorg,$0.2377
Ankr,$0.02151
Theta Fuel,$0.04477
Livepeer,$7.58
Golem,$0.2229
ICON,$0.1815
Polymath,$0.2148
Audius,$0.1612
yearn.finance,"$7,278.44"
Ontology,$0.1844
Oasis Network,$0.04602
SushiSwap,$1.41
Kadena,$1.05
IOST,$0.008522

Horizen,$10.67
Astar,$0.04326
Dogelon Mars,$0.0000003594
Reserve Rights,$0.004177
Amp,$0.003503
Gnosis,$90.80
Mask Network,$3.70
Threshold,$0.01845
Celsius,$0.6888
WAX,$0.05858
ConstitutionDAO,$0.02707
SXP,$0.2472
JUST,$0.02213
BinaryX,$63.40
WOO Network,$0.1225
TerraClassicUSD,$0.02177
Secret,$0.8068
SKALE,$0.02732
Ribbon Finance,$0.2595
Civic,$0.1008
Injective,$1.63
DigiByte,$0.007754
Flux,$0.5312
Bone ShibaSwap,$0.926
OMG Network,$1.21
0x,$0.191
Siacoin,$0.002577
ssv.network,$10.81
Energy Web Token,$4.05
MX TOKEN,$0.8414
APENFT,$0.0000004682
dYdX,$1.77
1481
WINkLink,$0.00008979
PlayDapp,$0.2064
BORA,$0.1549
Storj,$0.3254
Braintrust,$0.9965
Smooth Love Potion,$0.002686
API3,$1.45

iExec RLC,$1.06
Synapse,$0.6472
Frax Share,$5.19
UMA,$1.76
Numeraire,$19.09
MetisDAO,$18.51
Render Token,$0.4934
Pundi X (New),$0.4023
Aragon,$2.14
Ren,$0.09506
Ontology Gas,$0.2573
Voyager Token,$0.4306
Celer Network,$0.01215
MobileCoin,$1.19
COTI,$0.07346
Vulcan Forged PYR,$3.13
Request,$0.09397
Nano,$0.7684
Nervos Network,$0.002483
Kyber Network Crystal v2,$0.6693
CEEK VR,$0.1001
Ocean Protocol,$0.1421
DAO Maker,$0.8982
Syscoin,$0.118
Mdex,$0.09052
